Designator,Mid X,Mid Y,Rotation,Layer
J2,135.775,-53.625,180.0,top
J1,164.275,-53.65,180.0,top
R16,160.5,-85.25,0.0,top
R10,140.25,-86.25,90.0,top
C2,151.2,-83.1375,90.0,top
R26,146.5,-65.0,90.0,top
R18,135.0,-100.25,90.0,top
R11,148.0,-83.0,90.0,top
F3,162.35,-107.05,90.0,top
R34,136.0,-115.25,180.0,top
C12,147.5,-58.25,0.0,top
R36,164.0,-115.25,0.0,top
J7,143.65,-52.0,90.0,top
R2,161.0,-91.4,-45.0,top
C17,164.0,-77.25,180.0,top
C13,136.5,-62.75,-90.0,top
R27,136.0,-119.5,180.0,top
R24,150.75,-61.25,90.0,top
U1,150.0,-92.5,45.0,top
R7,154.2,-103.0,-90.0,top
D1,148.75,-55.25,0.0,top
R39,164.25,-84.0,0.0,top
R8,153.0,-106.75,-90.0,top
R38,164.0,-123.5,0.0,top
R21,164.0,-117.0,0.0,top
J10,150.75,-64.25,0.0,top
Y1,139.75,-99.5,0.0,top
R23,153.25,-77.4125,-90.0,top
R32,135.75,-102.75,180.0,top
R35,164.0,-112.75,0.0,top
D2,143.75,-55.25,180.0,top
C10,147.3875,-68.0,180.0,top
R5,156.6,-103.0,-90.0,top
C20,137.75,-85.75,0.0,top
J4,153.8,-54.5,90.0,top
J8,164.0,-128.0,-90.0,top
R30,141.75,-123.6625,-90.0,top
U2,141.25,-62.0,90.0,top
J3,132.25,-61.96,0.0,top
R12,143.5,-82.25,90.0,top
C3,140.85,-93.0,180.0,top
C19,136.0,-125.0,0.0,top
C14,140.75,-67.5,180.0,top
C18,158.5,-125.25,0.0,top
R40,160.75,-79.75,0.0,top
R28,136.0,-122.75,180.0,top
R6,155.4,-106.75,-90.0,top
F2,155.0,-57.25,180.0,top
R25,148.25,-63.25,90.0,top
J5,158.75,-66.75,90.0,top
C6,158.6,-94.0,-45.0,top
C15,135.75,-90.0,180.0,top
R9,159.0,-98.8,-90.0,top
J6,167.75,-77.16,0.0,top
C11,146.0,-61.0,-90.0,top
S_BOOT0,137.75,-81.0,90.0,top
R14,141.0,-82.25,90.0,top
R15,142.5,-104.0,-90.0,top
R17,160.5,-87.0,0.0,top
F1,139.25,-56.75,0.0,top
R22,157.4125,-76.25,0.0,top
R37,164.0,-120.75,0.0,top
C7,140.0,-104.0,180.0,top
C4,151.4,-101.0,180.0,top
R4,161.354765,-96.354765,-45.0,top
R19,135.0,-106.75,-90.0,top
R13,142.25,-78.75,90.0,top
C1,141.5,-90.0,45.0,top
R31,139.25,-123.75,-90.0,top
C8,140.75,-96.75,0.0,top
S_RESET1,139.25,-106.75,180.0,top
JP1,161.4,-103.8,180.0,top
R41,160.75,-81.75,0.0,top
R20,164.0,-111.0,0.0,top
C16,135.75,-92.5,180.0,top
R3,161.2,-93.8,-45.0,top
R29,137.75,-84.25,180.0,top
R1,161.4,-89.6,-45.0,top
R33,135.75,-104.25,180.0,top
C5,146.0,-100.5,-90.0,top
C9,139.25,-102.2,0.0,top
J9,136.525,-96.5,90.0,top
